subject,video_name,start_frame,apex_frame,end_frame,type_idx,au
samm_011,samm_011_5,306,314,323,1,23+L30
samm_011,samm_011_5,458,468,477,1,5A/B+14B
samm_011,samm_011_5,506,513,528,1,L14C
samm_011,samm_011_5,557,565,580,1,7B+A14C+38
samm_011,samm_011_5,857,878,898,1,Chewing
samm_011,samm_011_6,552,557,560,2,10A/B
samm_011,samm_011_6,0,415,515,1,6C+12E+ref(23)+24
samm_011,samm_011_6,521,533,542,1,1C+2C+5B+25+26
samm_011,samm_011_6,596,637,714,1,6C+7B+10D+12D+14D+23+24
samm_011,samm_011_6,565,573,577,2,ref(L10)+A12B
samm_011,samm_011_6,22,31,55,1,7B+10B+12D+14B
samm_011,samm_011_6,69,81,102,1,L10A+A12B
samm_011,samm_011_6,120,154,256,1,6E+10(B/C)+12E+61
samm_011,samm_011_6,312,321,325,2,L12C
samm_011,samm_011_6,325,331,334,2,12C
samm_011,samm_011_6,335,348,353,1,R10B+A12C
samm_011,samm_011_6,0,354,356,1,R10B+A12C
samm_011,samm_011_6,357,465,498,1,6B+7B+12C/D+ref(18)+24
samm_011,samm_011_7,152,154,158,2,L10
samm_011,samm_011_7,449,453,459,2,L14
samm_011,samm_011_7,150,154,164,1,L10B + ref(11)
samm_011,samm_011_7,448,453,463,1,L14B
samm_011,samm_011_7,43,52,62,1,L14B+24
samm_011,samm_011_7,72,120,147,1,ref(5A/B)+12B/C+14C+24
samm_011,samm_011_7,355,365,391,1,1B+5B+A14D+54
samm_011,samm_011_7,514,524,543,1,L14C
samm_011,samm_011_7,543,553,569,1,12B
samm_011,samm_011_7,696,718,726,1,6A+12C
samm_011,samm_011_7,737,753,781,1,12B+A14D+15C+24
samm_011,samm_011_7,991,1021,1050,1,6D+10B/C+12D+23
samm_012,samm_012_3,577,581,584,2,7+20+26
samm_012,samm_012_3,587,591,599,2,ref(5)+20C+25+26
samm_012,samm_012_3,0,609,631,1,7B+12C+15C
samm_012,samm_012_3,628,683,684,1,6C/D+ref(7)12E+25
samm_012,samm_012_4,167,182,190,1,61+64
samm_012,samm_012_5,77,89,100,1,62+64
samm_012,samm_012_6,360,376,383,1,62+64
samm_012,samm_012_6,510,520,534,1,62+64
samm_012,samm_012_6,542,555,564,1,62+64
samm_012,samm_012_6,29,37,44,1,14B+L20B+B23
samm_012,samm_012_7,108,111,115,2,5
samm_012,samm_012_7,118,124,147,1,reaction?
samm_013,samm_013_1,475,477,486,2,7
samm_013,samm_013_1,561,567,572,2,7A
samm_013,samm_013_1,88,92,100,2,7B
samm_013,samm_013_1,907,911,921,1,7
samm_013,samm_013_1,84,94,104,1,7C
samm_013,samm_013_1,462,478,487,1,ref(4)+7B
samm_013,samm_013_1,897,908,920,1,7C
samm_013,samm_013_1,105,108,114,2,7A
samm_013,samm_013_1,707,709,717,2,7
samm_013,samm_013_2,55,60,75,1,31
samm_013,samm_013_2,272,279,293,1,L10
samm_013,samm_013_3,79,94,96,1,(1B+2A)or(loses AU4)
samm_013,samm_013_6,49,60,87,1,7B
samm_013,samm_013_7,27,38,52,1,7D
samm_013,samm_013_7,228,238,247,1,7C
samm_013,samm_013_7,406,412,425,1,A(4B/C)+5B
samm_013,samm_013_7,505,514,533,1,5(B/C)
samm_013,samm_013_7,941,959,978,1,A4B+7B+ref(24)+80
samm_013,samm_013_7,1026,1047,1071,1,6A+12B
samm_013,samm_013_7,259,266,270,2,7B
samm_014,samm_014_1,294,297,299,2,20
samm_014,samm_014_1,74,86,117,1,24
samm_014,samm_014_1,187,197,212,1,24
samm_014,samm_014_1,83,89,94,2,24
samm_014,samm_014_2,94,139,158,1,R12D+A14C+24
samm_014,samm_014_2,298,308,323,1,A12C
samm_014,samm_014_2,576,580,588,2,5C
samm_014,samm_014_2,484,490,495,2,12B
samm_014,samm_014_3,51,58,70,1,24
samm_014,samm_014_3,240,250,258,1,24
samm_014,samm_014_3,204,205,214,2,12A+ref(24)
samm_014,samm_014_3,53,57,65,2,12+24
samm_014,samm_014_3,245,248,258,1,24
samm_014,samm_014_4,42,53,68,1,(L/A)4B
samm_014,samm_014_4,187,196,217,1,A4C
samm_014,samm_014_4,362,376,386,1,ref(14)+24
samm_014,samm_014_5,55,63,76,1,12A or 14A
samm_014,samm_014_5,58,62,69,2,R12 or R14
samm_014,samm_014_5,226,233,240,1,5C+17B
samm_014,samm_014_6,164,166,168,2,L12A
samm_014,samm_014_6,148,152,156,2,12A
samm_014,samm_014_6,15,21,24,2,A/L12
samm_014,samm_014_6,580,588,614,1,24+27
samm_014,samm_014_6,146,155,159,1,12(A/B)
samm_014,samm_014_6,261,269,276,1,5D+A20C+24
samm_014,samm_014_7,441,444,449,2,L12A
samm_014,samm_014_7,55,63,72,1,20C+24+26
samm_014,samm_014_7,290,308,348,1,12(A/B)
samm_014,samm_014_7,376,387,429,1,12(A/B)
samm_014,samm_014_7,590,602,624,1,24
samm_014,samm_014_7,836,873,889,1,5B+12B+24
samm_015,samm_015_1,2,9,20,1,ref(A14)+24+61
samm_015,samm_015_1,37,52,74,1,7C
samm_015,samm_015_1,606,617,645,1,7D
samm_015,samm_015_3,43,86,88,1,6B+ref(8)+A12D+25+26+62+64
samm_015,samm_015_3,25,29,38,1,7(B/C)+ref(43)
samm_015,samm_015_5,109,113,117,2,A1
samm_015,samm_015_5,135,139,144,2,L14
samm_015,samm_015_5,68,71,78,2,1+2
samm_015,samm_015_5,53,68,77,1,1B+2B+5B
samm_015,samm_015_5,131,136,150,1,L14B
samm_015,samm_015_5,109,117,122,1,A1B+A2B+5B
samm_015,samm_015_6,42,48,68,1,7C
samm_015,samm_015_6,66,74,113,1,7C
samm_015,samm_015_6,304,319,347,1,7(C/D)
samm_015,samm_015_6,570,591,617,1,61
samm_015,samm_015_6,698,721,736,1,R12B+62
samm_015,samm_015_7,8,27,54,1,6B+7B+ref(10)+A12C+18B+24
samm_015,samm_015_7,54,73,100,1,L10B+A12C
samm_016,samm_016_1,62,77,92,1,17B+61+64
samm_016,samm_016_1,315,337,357,1,7B
samm_016,samm_016_2,97,105,132,1,5C
samm_016,samm_016_4,86,98,126,1,5B/C
samm_016,samm_016_5,4,14,22,1,7
samm_016,samm_016_6,43,77,268,1,L10A
samm_016,samm_016_6,296,323,329,1,A1B+A2B+12B+ref(14)
samm_016,samm_016_7,159,162,165,2,7D+ref(43)
samm_016,samm_016_7,354,356,361,2,1+2
samm_016,samm_016_7,424,427,430,2,4
samm_016,samm_016_7,14,42,70,1,L4B
samm_016,samm_016_7,639,644,650,2,5C
samm_016,samm_016_7,311,321,335,1,L6B+L7C
samm_016,samm_016_7,411,425,432,1,4C+ref(5)+ref(7)
samm_016,samm_016_7,1406,1415,1418,2,12
samm_016,samm_016_7,349,359,363,1,A1B+A2(B/C)
samm_017,samm_017_1,81,107,131,1,A1B+L2B+ref(5)
samm_017,samm_017_2,57,62,73,1,4B+10D+26
samm_017,samm_017_3,38,42,48,2,R14
samm_017,samm_017_3,10,14,20,2,1A+2B+L14C
samm_017,samm_017_3,174,186,186,2,R2
samm_017,samm_017_3,21,24,32,2,L14C
samm_017,samm_017_3,39,45,54,1,R14B
samm_017,samm_017_4,25,35,55,1,(loses 1+2) or (4(B/C))
samm_017,samm_017_5,65,84,125,1,L1B+L2B+5(B/C)
samm_017,samm_017_6,75,80,84,2,7
samm_017,samm_017_6,51,57,63,2,R2A
samm_017,samm_017_6,199,210,236,1,A1B+A2B+ref(5)
samm_018,samm_018_1,65,71,75,2,R2B
samm_018,samm_018_2,30,46,101,1,4B+7C+17B
samm_018,samm_018_2,245,250,269,1,4C+7C+17B
samm_018,samm_018_3,175,181,187,2,A9E+ref(10)
samm_018,samm_018_3,187,203,210,1,4D+A9D
samm_018,samm_018_3,0,250,320,1,14C+24
samm_018,samm_018_4,52,55,67,1,4+9
samm_018,samm_018_4,48,57,68,1,4D+A11+17B
samm_018,samm_018_4,67,76,98,1,4D+5(C/D)+17+39
samm_018,samm_018_4,0,130,166,1,4D+A14C+24+39
samm_018,samm_018_4,184,210,236,1,R2C+4D/E+17+ref(23)+24
samm_018,samm_018_4,236,246,256,1,4C+7C+24+26
samm_018,samm_018_4,0,262,281,1,4C+7C+R14+ref(18)+24
samm_018,samm_018_4,596,606,641,1,4(D/E)+R10B+A11
samm_018,samm_018_4,0,625,646,1,4(D/E)+6D+7(B/C)+ref(9)+10D+A14D+24
samm_018,samm_018_5,686,690,694,2,17
samm_018,samm_018_5,55,71,92,1,7B
samm_018,samm_018_5,255,272,333,1,4C+7B+14
samm_018,samm_018_5,678,685,697,1,17(B/C)
samm_018,samm_018_6,111,127,167,1,A12C+A14B
samm_018,samm_018_6,0,143,158,1,6B+12D
samm_018,samm_018_6,541,561,588,1,6B+12D+15D+ref(17)+24
samm_018,samm_018_6,589,613,648,1,6B+12D+ref(20)+24
samm_018,samm_018_6,0,628,644,1,6B+12D+14C+15D
samm_018,samm_018_7,16,19,21,2,5
samm_018,samm_018_7,17,33,62,1,ref(6)+12C+14D
samm_019,samm_019_1,56,63,84,1,L2C
samm_019,samm_019_1,90,98,107,1,L2C
samm_019,samm_019_1,462,468,482,1,L2B
samm_019,samm_019_1,498,508,519,1,L2B
samm_019,samm_019_1,533,549,565,1,L2B
samm_019,samm_019_1,685,712,734,1,5B
samm_019,samm_019_2,5,16,35,1,24
samm_019,samm_019_3,46,50,58,2,L2A
samm_019,samm_019_3,348,353,360,1,L2B
samm_019,samm_019_4,61,64,68,2,12B
samm_019,samm_019_5,153,158,163,2,L2
samm_019,samm_019_5,56,64,76,1,7C
samm_019,samm_019_5,148,156,166,1,L2B
samm_019,samm_019_5,261,273,279,1,L2B
samm_019,samm_019_5,267,275,279,1,L2
samm_019,samm_019_7,49,60,66,1,L2B+25
samm_019,samm_019_7,121,132,142,1,7B+25
samm_020,samm_020_1,287,290,292,2,L2
samm_020,samm_020_1,278,280,285,2,L2
samm_020,samm_020_1,843,846,853,2,B18+25
samm_020,samm_020_1,951,953,963,2,8+25
samm_020,samm_020_1,275,286,293,1,twice - L1B+L2B+25
samm_020,samm_020_1,834,842,852,1,B8 or B18
samm_020,samm_020_1,71,80,85,1,L12B
samm_020,samm_020_2,83,89,100,1,R12B+25+26
samm_020,samm_020_3,78,156,313,1,A10B+43
samm_020,samm_020_3,367,394,450,1,6(B/C)+10C+12D+15D+17D+24
samm_020,samm_020_4,429,433,437,2,14+25+26
samm_020,samm_020_4,185,189,190,2,L12A+25
samm_020,samm_020_4,72,78,90,1,12B+24
samm_020,samm_020_4,134,146,154,1,24
samm_020,samm_020_4,354,361,375,1,8+25+26
samm_020,samm_020_5,68,72,88,1,8+25+26
samm_020,samm_020_6,26,42,155,1,6C+ref(10)+12D+15C+17C+24+43
samm_020,samm_020_6,163,215,282,1,6C+7(B/C)+12(D/E)+25+26
samm_020,samm_020_6,0,235,373,1,6C+7(B/C)+ref(R10)+A12(D/E)+25+26
samm_020,samm_020_6,403,409,434,1,L2C+R10B+12B
samm_020,samm_020_6,441,539,625,1,6D+ref(7)+12E+25+26
samm_020,samm_020_7,1064,1068,1072,2,A7
samm_020,samm_020_7,1133,1142,1145,2,L2C+12
samm_020,samm_020_7,1150,1197,1204,1,2+6C+R10B+A12D+Ref(14)+15B+43
samm_020,samm_020_7,18,22,29,2,L2
samm_020,samm_020_7,11,22,33,1,L2C
samm_020,samm_020_7,318,325,336,1,7C
samm_020,samm_020_7,356,381,413,1,ref(7)+24
samm_020,samm_020_7,594,603,618,1,61+63
samm_020,samm_020_7,651,676,689,1,24
samm_020,samm_020_7,963,972,982,1,L2C
samm_020,samm_020_7,1053,1062,1071,1,A7C
samm_021,samm_021_3,110,150,185,1,12
samm_021,samm_021_3,381,401,417,1,12
samm_021,samm_021_7,448,452,455,2,L4
samm_021,samm_021_7,106,110,117,2,4
samm_022,samm_022_2,155,163,177,1,7B
samm_022,samm_022_2,344,362,373,1,7B
samm_022,samm_022_2,50,54,62,2,7
samm_022,samm_022_2,256,263,272,1,4B+7B
samm_022,samm_022_2,629,642,649,1,5A
samm_022,samm_022_3,59,79,116,1,38
samm_022,samm_022_3,47,52,53,2,7A
samm_022,samm_022_3,457,460,462,2,7C+A12B
samm_022,samm_022_3,180,188,195,1,5B
samm_022,samm_022_4,61,63,71,2,7
samm_022,samm_022_5,41,44,50,2,A12
samm_022,samm_022_6,62,68,79,1,A7
samm_023,samm_023_1,65,67,71,2,17
samm_023,samm_023_4,18,58,75,1,25+26
samm_024,samm_024_2,95,97,104,2,31
samm_024,samm_024_2,95,98,109,1,31
samm_024,samm_024_2,70,84,89,1,17
samm_024,samm_024_3,255,270,279,1,31?
samm_024,samm_024_3,283,301,310,1,31
samm_024,samm_024_3,339,345,354,1,31
samm_024,samm_024_3,232,237,251,1,31
samm_024,samm_024_5,19,24,33,1,31
samm_025,samm_025_3,67,76,96,1,12B
samm_025,samm_025_3,0,89,108,1,12B+L13A+38+39
samm_025,samm_025_3,299,306,322,1,R2B
samm_025,samm_025_3,123,130,137,1,1A+2A+L12
samm_025,samm_025_3,379,387,397,1,L12C+L13C+23+39
samm_025,samm_025_4,353,358,363,2,T18+39
samm_025,samm_025_4,76,78,87,2,13+39
samm_025,samm_025_5,104,109,117,2,4+13+T18+39
samm_025,samm_025_5,104,110,122,1,ref(12)+L13C+39
samm_025,samm_025_6,102,106,111,2,13+T18+39
samm_026,samm_026_1,36,40,46,2,4+6+7+9+43E
samm_026,samm_026_1,14,18,25,2,L2
samm_026,samm_026_2,360,364,368,2,7D
samm_026,samm_026_2,368,372,378,2,4D+ref(6)+7C+43E
samm_026,samm_026_2,325,330,335,2,4B+7B+43E
samm_026,samm_026_2,501,504,512,2,2C
samm_026,samm_026_2,256,-1,268,1,4C+7C+43E
samm_026,samm_026_2,90,96,104,1,L2B+17B
samm_026,samm_026_2,154,160,169,1,4C+7C+43E
samm_026,samm_026_3,482,508,516,1,10(B/C)+ref(11)+ref(12A)+25
samm_026,samm_026_3,455,468,482,1,33
samm_026,samm_026_3,212,216,217,2,7B
samm_026,samm_026_3,447,450,454,2,7B
samm_026,samm_026_3,90,99,107,1,double 45
samm_026,samm_026_3,167,176,185,1,7B+double 45
samm_026,samm_026_5,71,73,80,2,R14+17+soft focus
samm_026,samm_026_6,43,47,55,2,R14+R17
samm_026,samm_026_7,230,233,243,2,L2
samm_026,samm_026_7,572,575,581,2,L2
samm_026,samm_026_7,218,222,230,2,R10
samm_026,samm_026_7,102,124,128,1,R12 or R14
samm_028,samm_028_4,133,-1,141,2,A14C
samm_028,samm_028_4,199,208,229,1,31
samm_028,samm_028_4,46,52,55,2,5B
samm_028,samm_028_4,160,170,171,2,5A
samm_028,samm_028_4,117,125,133,1,10C+17B+18
samm_030,samm_030_1,47,52,57,2,4A/B
samm_030,samm_030_1,542,548,554,2,4
samm_030,samm_030_1,344,392,413,1,4A/B
samm_030,samm_030_1,534,552,561,1,4A/B
samm_030,samm_030_2,117,135,142,1,ref(4A)
samm_030,samm_030_5,52,57,62,2,4A
samm_030,samm_030_5,46,58,87,1,4A
samm_030,samm_030_5,264,286,304,1,L14A
samm_031,samm_031_3,41,43,48,2,7B
samm_032,samm_032_2,72,84,109,1,4B+38
samm_032,samm_032_2,180,199,224,1,4D+A12C+ref(14B)+38
samm_032,samm_032_2,274,294,363,1,4D+14B+38
samm_032,samm_032_2,364,395,432,1,4D+14B+38
samm_032,samm_032_2,571,580,589,1,L4B+38
samm_032,samm_032_3,236,-1,246,2,4A
samm_032,samm_032_3,265,265,275,2,4A
samm_032,samm_032_3,53,57,58,2,24+38
samm_032,samm_032_3,28,37,49,1,24
samm_032,samm_032_4,413,415,421,2,24
samm_032,samm_032_4,50,54,59,2,7
samm_032,samm_032_4,573,586,597,1,4A
samm_032,samm_032_4,610,620,638,1,4D
samm_032,samm_032_5,101,112,119,1,4B
samm_032,samm_032_6,38,40,45,2,A1
samm_032,samm_032_6,56,75,111,1,A4C+R(12or14)B+38
samm_033,samm_033_1,276,321,367,1,4C+6B+7B+10B/C+12C+14C+(17 or 19)+43E
samm_033,samm_033_1,368,547,710,1,L1+6B+10C+14C+12C+81
samm_033,samm_033_1,119,123,126,2,12+39
samm_033,samm_033_1,192,196,201,2,12+15 
samm_033,samm_033_1,236,240,246,2,7
samm_033,samm_033_1,108,125,151,1,A12B
samm_033,samm_033_2,86,93,96,2,4A
samm_033,samm_033_2,264,268,276,2,7
samm_033,samm_033_2,350,360,363,1,7C
samm_033,samm_033_2,261,270,289,1,7B
samm_033,samm_033_3,77,85,93,1,7C 
samm_033,samm_033_4,67,94,102,1,7C
samm_033,samm_033_5,48,58,66,1,L12B
samm_033,samm_033_6,106,119,152,1,12A
samm_033,samm_033_7,506,529,562,1,12C+14C
samm_033,samm_033_7,19,28,40,1,(A/R)14B
samm_034,samm_034_3,16,19,27,2,7B
samm_034,samm_034_6,440,452,463,1,26
samm_034,samm_034_6,25,33,45,1,5+17D
samm_034,samm_034_7,197,201,206,2,7B
samm_034,samm_034_7,454,458,464,2,7B+56
samm_034,samm_034_7,129,158,192,1,24+56+80
samm_034,samm_034_7,265,273,292,1,1A+2C+ref(5)+56+85
samm_035,samm_035_1,81,83,86,2,4
samm_035,samm_035_1,65,82,91,1,A4B
samm_035,samm_035_2,205,211,219,1,38
samm_035,samm_035_2,65,83,92,1,24 or 31 or 80
samm_035,samm_035_2,224,231,242,1,(L/A)12(B/A)
samm_035,samm_035_3,158,175,192,1,12B
samm_035,samm_035_3,33,54,103,1,12B
samm_035,samm_035_4,28,30,32,2,7
samm_035,samm_035_4,188,191,196,2,4
samm_035,samm_035_4,182,193,198,1,4A
samm_035,samm_035_5,50,53,58,2,38
samm_035,samm_035_5,301,305,309,2,17
samm_035,samm_035_5,31,36,42,2,R20
samm_035,samm_035_6,423,576,627,1,R10A+12
samm_035,samm_035_6,666,699,704,1,A12D
samm_035,samm_035_6,22,26,29,2,R20B
samm_035,samm_035_6,548,570,606,1,A12B+A15A+24
samm_035,samm_035_7,976,977,981,2,A1B+A2C
samm_035,samm_035_7,102,106,114,2,R14A or 17A or 24A
samm_035,samm_035_7,565,581,592,1,R20C
samm_035,samm_035_7,870,891,894,1,24+85
samm_035,samm_035_7,648,654,661,1,L2B
samm_036,samm_036_2,153,174,397,1,55
samm_036,samm_036_2,413,481,482,1,25+26
samm_036,samm_036_2,217,244,265,1,25+26
samm_036,samm_036_2,329,363,396,1,L30
samm_036,samm_036_4,366,382,388,1,14B+18
samm_036,samm_036_4,388,399,433,1,19+25+26
samm_036,samm_036_4,127,135,163,1,L14B+25+26
samm_036,samm_036_6,128,178,208,1,6C+12C+19+25+26
samm_036,samm_036_6,208,-1,306,1,6D+7B+12D+18+25+26
samm_036,samm_036_6,306,-1,400,1,1D+2D+12D+25+54+61
samm_036,samm_036_6,401,631,682,1,6B+7B+12C+17C+B18(A/B)
samm_036,samm_036_7,207,271,699,1,25+26
samm_036,samm_036_7,276,285,342,1,L30
samm_036,samm_036_7,282,292,295,2,R10A+25+26
samm_036,samm_036_7,734,787,1025,1,25+26
samm_036,samm_036_7,131,146,181,1,14B+18
samm_036,samm_036_7,426,438,464,1,1B+2B+25+26
samm_036,samm_036_7,751,765,789,1,19+25+26
samm_037,samm_037_2,146,152,163,1,ref(12)+23
samm_037,samm_037_3,413,417,422,2,24
samm_037,samm_037_3,399,401,411,2,T23
samm_037,samm_037_3,184,198,217,1,12B ?
samm_037,samm_037_3,412,418,433,1,T23
samm_037,samm_037_4,185,191,197,2,24
samm_037,samm_037_4,185,192,200,1,24
samm_037,samm_037_4,623,630,639,1,24
samm_037,samm_037_4,425,428,496,1,23
samm_037,samm_037_5,214,221,230,1,24
samm_037,samm_037_5,525,549,581,1,24A
samm_037,samm_037_7,100,110,141,1,ref(7)+12B
smic_s01,smic_s01_01,87,91,95,2
smic_s01,smic_s01_02,535,539,543,2
smic_s01,smic_s01_03,695,698,701,2
smic_s01,smic_s01_04,74,77,79,2
smic_s01,smic_s01_04,265,269,273,2
smic_s02,smic_s02_01,352,355,359,2
smic_s02,smic_s02_02,128,131,134,2
smic_s02,smic_s02_03,145,149,154,2
smic_s02,smic_s02_04,637,642,647,2
smic_s02,smic_s02_05,678,683,687,2
smic_s03,smic_s03_01,630,633,636,2
smic_s03,smic_s03_02,570,573,577,2
smic_s03,smic_s03_03,583,587,591,2
smic_s03,smic_s03_04,168,170,173,2
smic_s03,smic_s03_04,511,514,518,2
smic_s03,smic_s03_05,546,549,552,2
smic_s03,smic_s03_05,556,557,558,2
smic_s03,smic_s03_05,736,738,741,2
smic_s03,smic_s03_06,107,110,113,2
smic_s03,smic_s03_06,173,177,180,2
smic_s03,smic_s03_06,260,265,270,2
smic_s03,smic_s03_07,98,102,106,2
smic_s03,smic_s03_07,333,337,341,2
smic_s03,smic_s03_08,705,710,715,2
smic_s03,smic_s03_09,331,334,336,2
smic_s03,smic_s03_09,495,499,502,2
smic_s03,smic_s03_10,602,605,608,2
smic_s03,smic_s03_11,439,441,444,2
smic_s03,smic_s03_12,348,351,354,2
smic_s03,smic_s03_13,516,521,526,2
smic_s03,smic_s03_13,731,735,739,2
smic_s03,smic_s03_14,120,122,125,2
smic_s03,smic_s03_15,63,66,68,2
smic_s03,smic_s03_16,136,139,143,2
smic_s03,smic_s03_16,211,216,221,2
smic_s03,smic_s03_16,335,338,341,2
smic_s03,smic_s03_16,609,611,614,2
smic_s03,smic_s03_16,308,312,316,2
smic_s03,smic_s03_16,494,498,503,2
smic_s03,smic_s03_17,439,443,447,2
smic_s03,smic_s03_18,213,215,217,2
smic_s03,smic_s03_19,528,532,536,2
smic_s03,smic_s03_19,585,590,595,2
smic_s03,smic_s03_19,722,727,732,2
smic_s03,smic_s03_20,232,234,236,2
smic_s03,smic_s03_21,611,614,617,2
smic_s03,smic_s03_21,378,381,384,2
smic_s03,smic_s03_21,484,486,488,2
smic_s04,smic_s04_01,129,133,137,2
smic_s04,smic_s04_02,554,560,565,2
smic_s04,smic_s04_03,35,39,43,2
smic_s04,smic_s04_04,381,383,386,2
smic_s04,smic_s04_05,628,630,633,2
smic_s04,smic_s04_06,536,538,541,2
smic_s04,smic_s04_07,454,458,461,2
smic_s04,smic_s04_08,703,706,709,2
smic_s04,smic_s04_09,112,115,118,2
smic_s04,smic_s04_10,110,114,119,2
smic_s04,smic_s04_11,140,144,147,2
smic_s04,smic_s04_12,567,570,573,2
smic_s04,smic_s04_13,92,96,100,2
smic_s04,smic_s04_13,128,131,133,2
smic_s04,smic_s04_13,146,149,151,2
smic_s04,smic_s04_14,32,36,39,2
smic_s04,smic_s04_14,156,159,162,2
smic_s04,smic_s04_15,138,142,145,2
smic_s04,smic_s04_16,499,503,508,2
smic_s05,smic_s05_01,400,406,411,2
smic_s05,smic_s05_02,527,530,534,2
smic_s06,smic_s06_01,486,489,492,2
smic_s06,smic_s06_02,72,77,82,2
smic_s06,smic_s06_03,531,535,539,2
smic_s06,smic_s06_04,177,182,187,2
smic_s08,smic_s08_01,106,111,116,2
smic_s08,smic_s08_01,339,343,346,2
smic_s08,smic_s08_01,384,387,391,2
smic_s08,smic_s08_02,180,184,189,2
smic_s08,smic_s08_03,131,136,141,2
smic_s08,smic_s08_04,93,99,105,2
smic_s08,smic_s08_05,255,257,260,2
smic_s08,smic_s08_06,248,251,254,2
smic_s08,smic_s08_07,239,243,248,2
smic_s08,smic_s08_08,250,254,259,2
smic_s08,smic_s08_09,223,226,230,2
smic_s08,smic_s08_10,251,254,258,2
smic_s08,smic_s08_10,551,556,561,2
smic_s09,smic_s09_01,276,279,283,2
smic_s09,smic_s09_01,287,292,297,2
smic_s09,smic_s09_01,287,292,297,2
smic_s09,smic_s09_02,519,524,530,2
smic_s09,smic_s09_03,479,484,489,2
smic_s11,smic_s11_01,82,84,87,2
smic_s11,smic_s11_02,267,271,274,2
smic_s11,smic_s11_03,251,256,261,2
smic_s11,smic_s11_04,269,275,281,2
smic_s11,smic_s11_05,194,199,205,2
smic_s11,smic_s11_06,273,276,280,2
smic_s11,smic_s11_07,465,471,477,2
smic_s12,smic_s12_01,253,258,262,2
smic_s12,smic_s12_02,265,271,278,2
smic_s12,smic_s12_03,155,158,161,2
smic_s12,smic_s12_04,237,242,248,2
smic_s12,smic_s12_05,250,254,257,2
smic_s12,smic_s12_05,335,339,343,2
smic_s12,smic_s12_06,235,240,245,2
smic_s12,smic_s12_07,261,267,273,2
smic_s12,smic_s12_08,252,257,262,2
smic_s13,smic_s13_01,596,601,607,2
smic_s13,smic_s13_02,305,309,313,2
smic_s13,smic_s13_02,395,399,404,2
smic_s13,smic_s13_03,112,118,124,2
smic_s13,smic_s13_03,227,233,239,2
smic_s13,smic_s13_04,592,597,603,2
smic_s13,smic_s13_05,411,415,419,2
smic_s13,smic_s13_06,78,82,87,2
smic_s13,smic_s13_07,361,366,371,2
smic_s13,smic_s13_08,128,133,139,2
smic_s14,smic_s14_01,302,308,314,2
smic_s14,smic_s14_01,1158,1163,1167,2
smic_s14,smic_s14_02,225,230,234,2
smic_s14,smic_s14_02,1401,1406,1410,2
smic_s14,smic_s14_03,257,262,267,2
smic_s14,smic_s14_04,253,260,267,2
smic_s14,smic_s14_05,135,141,147,2
smic_s14,smic_s14_06,172,178,183,2
smic_s14,smic_s14_07,244,249,254,2
smic_s14,smic_s14_08,170,176,182,2
smic_s15,smic_s15_01,97,103,110,2
smic_s15,smic_s15_02,228,234,240,2
smic_s15,smic_s15_03,211,216,221,2
smic_s15,smic_s15_04,306,310,314,2
smic_s18,smic_s18_01,171,175,180,2
smic_s18,smic_s18_02,135,140,144,2
smic_s18,smic_s18_02,160,164,169,2
smic_s18,smic_s18_03,225,229,233,2
smic_s18,smic_s18_04,195,198,202,2
smic_s18,smic_s18_04,105,108,111,2
smic_s18,smic_s18_05,242,247,251,2
smic_s18,smic_s18_06,153,158,164,2
smic_s18,smic_s18_07,351,356,361,2
smic_s19,smic_s19_01,213,219,226,2
smic_s19,smic_s19_02,267,271,276,2
smic_s20,smic_s20_02,259,261,263,2
smic_s20,smic_s20_02,428,432,436,2
smic_s20,smic_s20_03,278,283,288,2
smic_s20,smic_s20_04,163,168,174,2
smic_s20,smic_s20_05,347,351,356,2
smic_s20,smic_s20_06,33,36,39,2
smic_s20,smic_s20_07,173,177,180,2
smic_s20,smic_s20_08,433,436,438,2
smic_s20,smic_s20_08,443,447,450,2
smic_s20,smic_s20_08,468,470,472,2
smic_s20,smic_s20_10,159,165,170,2
smic_s20,smic_s20_11,379,383,388,2
smic_s20,smic_s20_11,395,399,403,2
smic_s20,smic_s20_12,372,375,377,2
smic_s20,smic_s20_13,336,340,344,2
smic_s20,smic_s20_14,443,447,452,2
smic_s20,smic_s20_15,221,226,231,2
smic_s20,smic_s20_16,172,178,184,2
smic_s20,smic_s20_17,217,222,227,2
smic_s20,smic_s20_18,86,89,92,2
smic_s20,smic_s20_19,137,139,142,2
smic_s20,smic_s20_19,184,186,189,2
smic_s20,smic_s20_20,113,119,125,2
smic_s20,smic_s20_21,77,82,87,2
smic_s20,smic_s20_22,144,147,150,2
